"code","HSK_regio","Vestiging","type","Jaar_Startdatum","aantal"
"GM0003","Zwolle","Groningen","BGGZ",2014,2
"GM0003","Zwolle","Groningen","DBC",2014,3
"GM0009","Zwolle","Groningen","BGGZ",2014,5
"GM0009","Zwolle","Groningen","DBC",2014,2
"GM0010","Zwolle","Groningen","BGGZ",2014,2
"GM0010","Zwolle","Groningen","DBC",2014,3
"GM0014","Zwolle","Assen","BGGZ",2014,2
"GM0014","Zwolle","Groningen","BGGZ",2014,65
"GM0014","Zwolle","Groningen","DBC",2014,62
"GM0014","Zwolle","Hoogeveen","BGGZ",2014,3
"GM0014","Zwolle","Leeuwarden","BGGZ",2014,1
"GM0014","Zwolle","Leeuwarden","DBC",2014,2
"GM0014","Zwolle","Zwolle","BGGZ",2014,1
"GM0015","Zwolle","Groningen","DBC",2014,1
"GM0017","Zwolle","Groningen","BGGZ",2014,3
"GM0017","Zwolle","Groningen","DBC",2014,4
"GM0018","Zwolle","Groningen","BGGZ",2014,8
"GM0018","Zwolle","Groningen","DBC",2014,7
"GM0022","Zwolle","Groningen","BGGZ",2014,2
"GM0022","Zwolle","Groningen","DBC",2014,2
"GM0025","Zwolle","Groningen","DBC",2014,3
"GM0034","Amsterdam","Amsterdam","BGGZ",2014,13
"GM0034","Amsterdam","Amsterdam","DBC",2014,30
"GM0034","Amsterdam","Zaandam","BGGZ",2014,1
"GM0034","Den Bosch","E.C. Tics","DBC",2014,1
"GM0034","Utrecht","Amersfoort","BGGZ",2014,23
"GM0034","Utrecht","Amersfoort","DBC",2014,9
"GM0034","Utrecht","E.C. Conversie","DBC",2014,2
"GM0034","Utrecht","Utrecht","BGGZ",2014,4
"GM0034","Utrecht","Utrecht","DBC",2014,3
"GM0034","Zwolle","Zwolle","BGGZ",2014,1
"GM0037","Zwolle","Groningen","BGGZ",2014,1
"GM0037","Zwolle","Groningen","DBC",2014,1
"GM0040","Zwolle","Groningen","BGGZ",2014,3
"GM0040","Zwolle","Groningen","DBC",2014,3
"GM0047","Zwolle","Groningen","BGGZ",2014,2
"GM0047","Zwolle","Groningen","DBC",2014,2
"GM0048","Zwolle","Assen","DBC",2014,1
"GM0050","Utrecht","Amersfoort","BGGZ",2014,1
"GM0050","Utrecht","Amersfoort","DBC",2014,2
"GM0050","Zwolle","Zwolle","BGGZ",2014,1
"GM0051","Zwolle","Leeuwarden","BGGZ",2014,4
"GM0051","Zwolle","Leeuwarden","DBC",2014,1
"GM0053","Zwolle","Groningen","BGGZ",2014,9
"GM0053","Zwolle","Groningen","DBC",2014,4
"GM0055","Zwolle","Leeuwarden","BGGZ",2014,3
"GM0055","Zwolle","Leeuwarden","DBC",2014,2
"GM0056","Zwolle","Groningen","BGGZ",2014,3
"GM0056","Zwolle","Groningen","DBC",2014,4
"GM0058","Zwolle","Groningen","BGGZ",2014,1
"GM0059","Zwolle","Groningen","BGGZ",2014,2
"GM0059","Zwolle","Groningen","DBC",2014,2
"GM0059","Zwolle","Leeuwarden","BGGZ",2014,3
"GM0059","Zwolle","Leeuwarden","DBC",2014,3
"GM0063","Zwolle","Leeuwarden","BGGZ",2014,1
"GM0063","Zwolle","Leeuwarden","DBC",2014,2
"GM0070","Zwolle","Leeuwarden","DBC",2014,3
"GM0072","Zwolle","Leeuwarden","BGGZ",2014,1
"GM0072","Zwolle","Leeuwarden","DBC",2014,4
"GM0074","Utrecht","E.C. Conversie","DBC",2014,1
"GM0074","Zwolle","Groningen","DBC",2014,1
"GM0074","Zwolle","Hoogeveen","BGGZ",2014,1
"GM0074","Zwolle","Leeuwarden","BGGZ",2014,3
"GM0074","Zwolle","Leeuwarden","DBC",2014,3
"GM0074","Zwolle","Zwolle","DBC",2014,1
"GM0079","Zwolle","Leeuwarden","BGGZ",2014,2
"GM0080","Zwolle","Leeuwarden","BGGZ",2014,14
"GM0080","Zwolle","Leeuwarden","DBC",2014,14
"GM0081","Zwolle","Leeuwarden","BGGZ",2014,2
"GM0081","Zwolle","Leeuwarden","DBC",2014,1
"GM0082","Utrecht","E.C. Conversie","DBC",2014,1
"GM0082","Zwolle","Leeuwarden","BGGZ",2014,2
"GM0082","Zwolle","Leeuwarden","DBC",2014,1
"GM0085","Zwolle","Assen","BGGZ",2014,3
"GM0085","Zwolle","Assen","DBC",2014,3
"GM0086","Zwolle","Assen","BGGZ",2014,1
"GM0086","Zwolle","Groningen","BGGZ",2014,3
"GM0086","Zwolle","Leeuwarden","BGGZ",2014,4
"GM0090","Utrecht","E.C. Conversie","DBC",2014,1
"GM0090","Zwolle","Groningen","BGGZ",2014,2
"GM0090","Zwolle","Groningen","DBC",2014,2
"GM0090","Zwolle","Leeuwarden","BGGZ",2014,1
"GM0090","Zwolle","Leeuwarden","DBC",2014,1
"GM0093","Zwolle","Leeuwarden","BGGZ",2014,1
"GM0098","Zwolle","Assen","BGGZ",2014,1
"GM0098","Zwolle","Hoogeveen","BGGZ",2014,1
"GM0106","Utrecht","E.C. Conversie","DBC",2014,1
"GM0106","Zwolle","Assen","BGGZ",2014,36
"GM0106","Zwolle","Assen","DBC",2014,29
"GM0106","Zwolle","Groningen","BGGZ",2014,1
"GM0106","Zwolle","Groningen","DBC",2014,3
"GM0106","Zwolle","Zwolle","DBC",2014,1
"GM0109","Den Bosch","Nijmegen","DBC",2014,1
"GM0109","Zwolle","Assen","DBC",2014,1
"GM0109","Zwolle","Hoogeveen","BGGZ",2014,11
"GM0109","Zwolle","Hoogeveen","DBC",2014,5
"GM0114","Zwolle","Assen","DBC",2014,1
"GM0114","Zwolle","Hoogeveen","BGGZ",2014,18
"GM0114","Zwolle","Hoogeveen","DBC",2014,5
"GM0118","Arnhem","Hengelo","DBC",2014,1
"GM0118","Zwolle","Assen","BGGZ",2014,3
"GM0118","Zwolle","Assen","DBC",2014,1
"GM0118","Zwolle","Groningen","BGGZ",2014,1
"GM0118","Zwolle","Groningen","DBC",2014,2
"GM0118","Zwolle","Hoogeveen","BGGZ",2014,145
"GM0118","Zwolle","Hoogeveen","DBC",2014,71
"GM0118","Zwolle","Zwolle","BGGZ",2014,1
"GM0118","Zwolle","Zwolle","DBC",2014,1
"GM0119","Zwolle","Assen","BGGZ",2014,1
"GM0119","Zwolle","Groningen","BGGZ",2014,1
"GM0119","Zwolle","Hoogeveen","BGGZ",2014,18
"GM0119","Zwolle","Hoogeveen","DBC",2014,19
"GM0119","Zwolle","Zwolle","BGGZ",2014,11
"GM0119","Zwolle","Zwolle","DBC",2014,4
"GM0140","Zwolle","Leeuwarden","BGGZ",2014,1
"GM0140","Zwolle","Leeuwarden","DBC",2014,1
"GM0141","Arnhem","Hengelo","BGGZ",2014,19
"GM0141","Arnhem","Hengelo","DBC",2014,11
